name,pca_feat
Raspberry,"[-2.126571124755933,-19.41489981876615,-3.588281455126337,-7.601186020033957,-4.086135716872443,-0.39100415462323435,2.0884865347716253,2.4191901671465637,-0.12399922203354435,2.011560474438246,2.438616103758481,-2.427033550285205,0.103446033482233,0.2336459624141487,1.6226261558245472,-0.9160642135560487,0.1621850769530826,-3.719022160292418,-4.235349195678205,0.2549706460094715,-0.7898030183100377,-2.9036921067370405,-1.391455468891333,0.8875527922778462,0.5132617163637888,0.9760781054632334,2.340157386565387,1.3415845032062421,0.14220291081351857,-1.3949952578094782,0.18108721793265115,1.340518038316045,-0.26632648552341426,-1.4185543670464054,-3.1740229272997986,-0.2341033814773316,1.4090911216616682,0.23215320668179515,-0.26538038400608605,1.513299863790497,1.262487137813699,-1.4601844073883261,-1.7831186017529865,-1.0049465723720428,-1.3947742414157989,-1.1810990757001272,0.7661899967467108,1.2091322875302126,1.3357191882307526,1.5893076064189666,1.5207458037105153,-1.916062748931463,0.13721436749649507,0.5625467639406374]"
Raspberry,"[-3.3878366590371516,-20.06187517813622,-3.100240736247052,-6.31599405508281,-3.8408396985536086,2.1473803936226736,2.7715004225433524,3.1599491935676602,0.5177339243565471,1.2488212816618285,1.6014231746699095,-2.154996236581579,1.604667197867394,2.0586318904768715,1.7145491773477328,-0.3688962347375982,0.19802145334985047,-1.6872187354858967,-5.336383414518929,-1.5958070885313245,-0.07014283950197346,-3.696439764068214,-1.8710484967046777,0.9086561066225497,0.9363933027762296,1.0518841564867072,1.9076412797669324,2.4781721145271685,0.6619612800243241,-0.6188240082472527,0.5352115133108735,0.7620347539958747,-0.9011585827215041,-1.2895781807115045,-2.674596677577443,-0.7060431116981065,2.013961084768435,-0.12250262003372392,-0.1574016883454049,1.262735013380751,-0.771781866471621,-1.295166691903107,-2.8194903028706904,-0.7482083459848562,-0.4180101543379646,-1.4927000145540936,-0.9590396428084824,-0.2291331392821052,1.9122670136051925,1.5160916699588218,1.0391850114118273,-2.8546615829818847,0.5344921004253719,0.2429650924236329]"
Pineapple Mini,"[-5.978608662498167,-26.84193351643137,-6.339803147449737,-8.526603611836522,-6.0222868465895845,0.30257507428121966,3.42395221022254,5.99303252321034,-1.5939582198263187,2.8507098419350156,3.412453521558314,-2.018960420921287,1.7913415660401297,2.2946660889151302,3.9413522684855193,-0.24226087092669268,1.165839673494442,-1.7801060282540304,-2.485961295132378,-0.3655748689093842,-0.5973658600399675,-3.093609187227534,0.345357099411726,1.030663715772481,1.9316693538571748,1.1316835909970298,1.4240057773954153,1.1262615364867483,2.005353119292283,-2.117421685027828,0.24419404888829255,3.5302758953191056,-1.1117011023480157,-2.1922559032233764,-3.314943305693296,-1.1852954422933513,1.9649792394007417,0.09316080194799138,0.19430982352320353,1.10412662020861,1.919210907042501,-0.20300662767705244,-1.3848389405623363,-1.6468174373182543,-1.7876330437967451,-1.2331452567257761,0.5760617560679271,-0.45080082914463915,2.5456107683605453,3.2686584173738953,1.4096700585915567,-0.6786002221162305,0.5239581727676215,1.0335916864651604]"
Pineapple Mini,"[-6.839004948299743,-24.16681742477067,-4.102602931259177,-7.7729009265349935,-6.93763190615187,1.4355752305816116,2.0599908639507793,4.64784617646928,-2.035264268351286,3.5086927652323303,4.593899783869139,0.10196871625322586,1.8101666123629983,2.2308520683647584,4.484030533018927,-0.3950971056676048,0.685056322445783,-2.6947636129005907,-3.8217648707786624,1.030871795575745,-3.0310287238064983,-4.198502261287519,-2.0654690278029832,1.7110490857716505,0.5850086171582807,0.04467089806906877,1.824001593763876,1.4315060169254323,0.8472905261403617,-1.7736611740157866,0.8312560653053833,2.8245405843400007,-0.6184328919544487,-2.2556933558358754,-0.8831739750023778,-2.117436615019013,0.5913513988955564,0.14257996781471755,0.035064600524501936,0.45627042914626376,-0.00997334978965891,-0.9575267592337002,-0.719629496599369,-0.0329425282556682,-1.594339480163181,-1.641449005301258,-0.9212118817403917,0.6133636301038051,1.8669576038297615,0.9335373097600695,1.5422058082066084,-1.4479797677909918,2.6424779414581376,1.8466878907617104]"
Raspberry,"[-5.475278628342286,-19.27326392366543,-1.388211349595801,-7.136730105778497,-5.899177481963958,2.3193731775264217,3.558522510900434,2.629227746999534,0.11027382184510286,1.9730238399856743,3.864313544806496,-2.636279131661573,0.4112741292356947,1.1050382816397963,2.0531055438118533,-0.7683360516724941,0.5005281352063091,-2.0957783657780977,-5.782759160088932,-0.16404963890014373,-1.1666156871420057,-3.7454931869274493,-0.548262202244765,1.4889226773416602,1.5405815687984017,0.6299773126570187,2.54673572100705,1.6701352777737393,1.2926058754404999,-1.8360079645231777,0.33290357351450905,1.2310416104669961,-0.6629992168114885,-1.9032828240883763,-3.4028745715254534,-1.5889897068401329,1.1208539437224412,0.42273667789413966,0.8123609129502039,1.5646565595456483,-0.7312053230295447,-1.2077733551015697,-2.2615542148371324,-1.5505755751051764,-1.624516282382662,-0.6901510019085546,0.5298038548072493,0.061915420900936345,1.818926388187617,0.912872679015004,0.8783181144961044,-1.5603851821077686,0.504164046175035,0.0705968614966077]"
Pineapple Mini,"[-5.150296598960475,-27.821269314354943,-2.503860204473221,-9.088026197546101,-7.227044481165251,3.6080053471372557,0.9848420697433167,5.0142121190613675,-2.0711428353230925,1.5666700756578285,3.513546818863568,-0.39458412219197386,-1.1374629622273225,0.3165957002563235,2.4856274364227184,-0.24186129665537245,1.0515476259439038,-2.7451297242162553,-2.991103083865751,1.2241421645669917,-0.912111049347021,-4.13980449433651,0.2765696170181871,2.761363566158796,1.383225005067723,2.739539752740696,3.5013656126375454,1.6629718280355341,2.3500533087870408,-0.5249471871340881,0.9512955453632395,1.1776142404392496,-0.1154275621116018,-2.193374657235542,0.14273522720692455,-1.8017865842784675,0.27088158210905583,0.46862962680336756,1.102918284174377,1.8351832057333486,0.15137283012372657,-2.2428258224966235,-1.2516879252463873,-0.9010389412466313,-0.17795944243728942,-0.9317542011712372,0.44400346669884877,0.7268541417986256,1.3549393201514819,1.3825491641633103,2.8306513680724006,-1.2099512439749618,1.4709407572700266,0.7956272287318813]"
Watermelon,"[-13.596755897946215,-21.853336976417282,-6.569736755509278,-13.450910245971306,-7.595235288024922,-0.8366614216291467,1.6160597028889183,3.7752289931524023,-3.5530448010546953,2.020072170620611,1.664298754889112,-2.24130830040876,-0.13435983940905277,0.22027966423625547,3.1467929601430167,0.2637144729812785,0.9210948354952987,-2.774858946135798,-3.8579842030732054,2.04374860418074,-1.6299261364470077,-5.13020853306422,-0.18344127974565222,0.6756014549988923,0.5501241380826466,-0.2869451353479154,1.8060637852668988,-0.30240245696488344,0.5165006223948961,-1.3273571537712805,2.425193357722579,2.9073121780980578,0.32066016268067565,-2.2346867448228087,-1.2533823713575227,-2.0844310346348305,-0.5403510986319219,0.18345724664288127,-1.5750124559664236,0.3996080165889363,-2.257419574703105,-2.9038032166766903,-4.676965728752243,-0.3640763335385904,-1.779965743749687,-1.0946821904393944,0.35335192218957767,1.3755435879343634,1.6574582970249394,0.35845456354049754,2.374254252515298,-1.2297704925243118,0.6372536461177024,-1.8262797043712848]"
Pineapple Mini,"[-9.781021105113009,-27.32768997236496,-0.5120420168899036,-7.397170668302756,-5.998164694422058,4.797054590754544,2.046806881230557,4.915966821634044,-2.5359400519991624,2.9032722541930203,2.3032437496214087,-1.9926124625219443,2.5848217829906486,2.549564648083939,1.5475786242532181,-0.5226879608623195,-0.5711744200260017,-2.1250360529302332,-2.587745573192235,1.8580798449917966,-0.28732450044438096,-3.0637914174010685,-1.2607296664830538,-0.10848273810602165,3.363009487362162,1.0006858731196921,1.9890427186699746,-0.26323460112662567,-0.4479182717350501,-0.5843626700677474,2.0101530540020156,2.685506722754308,0.21011868410213588,-2.113914547238519,-0.41966798076606526,-0.8230944580510788,1.107674668050107,-0.70603262267195,2.0924994936629098,-0.011742015468604984,0.1343569660740694,-1.9166651461546786,-1.482327266438834,-0.5945628583453544,-1.6691325890963737,0.6063669754217516,0.15014293525298805,1.0783741745484041,3.000607150093186,1.1177218122782815,2.058980851351661,-2.424830074096669,-0.5359957575775366,0.33446875205595616]"
Watermelon,"[-10.625740788486631,-22.808132795830026,-2.881990165850323,-15.790722287335335,-8.782117588303826,3.511479480354241,1.4321026879029486,3.1460740561689415,-1.6037887995305837,-1.1727671296949542,1.5082244284439297,-1.6983308091895366,0.07587828499638694,1.3826889999440883,3.2743641800192878,2.5509601466689547,2.3608149546469526,-2.7579163547114964,-2.8242210344437217,0.268349504494022,-1.6268377180033446,-3.8532753765319327,-1.0514163180627942,2.2184986786863123,0.48162616468625435,2.0119825281311803,2.619890126506975,-0.5079975780671546,-0.9287710263095365,-1.149793055099997,2.0332514362134897,1.2534569326175398,-0.31071118573458306,-2.7956346499121296,-2.0759576630364003,-1.4063504122811936,0.1268462472207656,0.5993598590522589,-0.9710399541104986,0.22179273087522217,2.1254484093985986,-1.2427199698354217,-2.5411582194184095,-2.2933791682799303,-1.3856268536039593,-1.4773906251028637,0.07241940549785005,0.26324178982945573,0.277508454532007,0.30824680548286054,1.2675152161647667,-1.6232933173091566,0.8029960349114572,1.3464256702018225]"
Watermelon,"[-13.281636376587088,-20.535943760203168,-4.7145852465450995,-17.54470307168987,-6.491135948693019,1.9723080469533154,-1.3848146690832068,5.612514187964868,-1.2522342592573055,-1.6742835103256226,3.7580905185027076,-2.2982142353449095,0.4222960602850106,0.1709528952988716,1.9798897411648255,2.161140394727972,0.6051487110735226,-1.1283230557348214,-1.3421437717778972,1.6739664102819751,-1.2962897547378236,-2.764209902080703,-0.6274323787572662,3.0706977759610683,1.5809321301543444,1.779008123419535,1.7030492364585392,0.587226306230574,1.5354357481144292,-2.373739478213027,2.070177184317452,2.088682015799893,-0.31557518088498365,-2.4614008195957,-1.9848216010790034,-1.2482575143050512,0.27066883994119156,1.4661446701397538,0.1669582895281149,0.23598432822743437,1.4429876156097343,-1.8783464350351613,-1.9265147652754873,-1.4379332421170923,-1.1090176391606938,-1.360713723846063,2.2615660735681384,1.1333756568174296,0.3941901912988221,2.5711182228285083,0.5336168764016823,-2.8112135521267634,0.09178706328607042,-1.198212936359319]"
